[0.533s] Invoking command in '/home/takuto/scout_ws/build/hesai_ros_driver': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/takuto/scout_ws/build/hesai_ros_driver -- -j16 -l16
[0.594s] [  5%] Built target hesai_ros_driver__cpp
[0.596s] [  5%] Built target log_lib
[0.596s] [ 10%] Built target hesai_ros_driver__rosidl_generator_c
[0.605s] [ 10%] Built target ament_cmake_python_symlink_hesai_ros_driver
[0.633s] [ 23%] Built target platutils_lib
[0.633s] [ 26%] Built target hesai_ros_driver__rosidl_typesupport_introspection_c
[0.633s] [ 40%] Built target hesai_ros_driver__rosidl_typesupport_c
[0.633s] [ 41%] Built target hesai_ros_driver__rosidl_typesupport_cpp
[0.633s] [ 44%] Built target hesai_ros_driver__rosidl_typesupport_fastrtps_cpp
[0.634s] [ 51%] Built target hesai_ros_driver__rosidl_typesupport_introspection_cpp
[0.651s] [ 59%] Built target hesai_ros_driver__rosidl_typesupport_fastrtps_c
[0.666s] [ 61%] Built target udpParser_lib
[0.666s] [ 67%] Built target source_lib
[0.670s] [ 76%] Built target ptcClient_lib
[0.680s] [ 76%] Built target hesai_ros_driver
[0.694s] [ 78%] Built target serialClient_lib
[0.709s] [ 79%] Built target hesai_ros_driver__py
[0.724s] [ 81%] Built target lidar_lib
[0.738s] [ 88%] Built target hesai_ros_driver__rosidl_generator_py
[0.754s] [ 90%] Built target hesai_sdk_lib
[0.769s] [ 94%] Built target hesai_ros_driver__rosidl_typesupport_introspection_c__pyext
[0.769s] [ 94%] Built target hesai_ros_driver__rosidl_typesupport_fastrtps_c__pyext
[0.770s] [ 96%] Built target hesai_ros_driver__rosidl_typesupport_c__pyext
[0.801s] [100%] Built target hesai_ros_driver_node
[0.909s] running egg_info
[0.910s] writing hesai_ros_driver.egg-info/PKG-INFO
[0.910s] writing dependency_links to hesai_ros_driver.egg-info/dependency_links.txt
[0.910s] writing top-level names to hesai_ros_driver.egg-info/top_level.txt
[0.914s] reading manifest file 'hesai_ros_driver.egg-info/SOURCES.txt'
[0.914s] writing manifest file 'hesai_ros_driver.egg-info/SOURCES.txt'
[0.962s] [100%] Built target ament_cmake_python_build_hesai_ros_driver_egg
[0.982s] Invoked command in '/home/takuto/scout_ws/build/hesai_ros_driver' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/takuto/scout_ws/build/hesai_ros_driver -- -j16 -l16
[0.984s] Invoking command in '/home/takuto/scout_ws/build/hesai_ros_driver': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/takuto/scout_ws/build/hesai_ros_driver
[0.995s] -- Install configuration: "Release"
[0.995s] -- Execute custom install script
[0.996s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/share/ament_index/resource_index/rosidl_interfaces/hesai_ros_driver
[0.996s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/firetime__functions.h
[0.996s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/firetime__struct.h
[0.996s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/firetime__type_support.h
[0.997s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/loss_packet__functions.h
[0.997s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/loss_packet__struct.h
[0.997s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/loss_packet__type_support.h
[0.997s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/ptp__functions.h
[0.997s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/ptp__struct.h
[0.997s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/ptp__type_support.h
[0.997s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/udp_frame__functions.h
[0.997s] -- Up-to-date symlink: /home/takuto/scout_ws/install/hesai_ros_driver/include/hesai_ros_driver/hesai_ros_driver/msg/detail/udp_frame__struct.h
